#begin document export_1106
1	(1
2	1)

1	(1
2	_
3	_
4	_
5	_
6	_
7	_
8	_
9	1)
10	_
11	_
12	_
13	_
14	(2
15	2)
16	_
17	(3
18	3)
19	_
20	(4
21	4)
22	_
23	(5
24	_
25	5)
26	_

1	_
2	(6
3	6)
4	_
5	(1)
6	(7
7	_
8	7)
9	_

1	(8
2	8)
3	_
4	(1)
5	_
6	_
7	_
8	_
9	(9)
10	_
11	(10)
12	_
13	(11)
14	_
15	(12
16	_
17	(13)|12)
18	_

1	_
2	_
3	(1)
4	_
5	(14|(1)
6	_
7	_
8	(15
9	(16
10	_
11	16)|15)|14)
12	_
13	_
14	_
15	_
16	_
17	_
18	_
19	_
20	(17
21	_
22	_
23	_
24	(18)|17)
25	_

1	_
2	(19|(1)
3	_
4	_
5	19)
6	_
7	_
8	_
9	_
10	_
11	(1)
12	_
13	_
14	_
15	_
16	(20
17	_
18	(20)
19	(21
20	_
21	(22)
22	_
23	(23)
24	_
25	21)
26	_
27	_
28	(24
29	24)
30	20)
31	_

1	_
2	(25
3	25)
4	_
5	_
6	(26
7	_
8	_
9	(26)
10	_
11	(27)
12	_
13	(28)
14	_
15	26)
16	_
17	_
18	(29
19	_
20	_
21	(30
22	30)
23	_
24	(31
25	_
26	_
27	(32
28	32)|31)|29)
29	_

1	(32)
2	_
3	(33
4	_
5	_
6	_
7	_
8	(33)
9	(34)
10	_
11	(35)
12	_
13	_
14	(36
15	_
16	36)
17	33)
18	_

1	(37
2	_
3	(38
4	38)
5	_
6	_
7	_
8	(39
9	_
10	39)|37)
11	_
12	_
13	(40
14	_
15	40)
16	_
17	_
18	_

1	_
2	_
3	(41
4	_
5	41)
6	_
7	(42
8	_
9	(43)
10	_
11	(42)
12	_
13	(44
14	(29
15	_
16	_
17	_
18	29)
19	_
20	_
21	44)
22	42)
23	_

1	_
2	(1)
3	_
4	(5
5	5)
6	_
7	_
8	_
9	_
10	_
11	_
12	_
13	(45
14	45)
15	_
16	_
17	_
18	(1
19	_
20	_
21	_
22	(46
23	46)|1)
24	_
25	_
26	_
27	(1
28	1)
29	_

1	(47
2	47)

#end document export_1106
#begin document export_1107
1	_
2	(1)
3	_
4	(1)

1	(2
2	2)
3	_
4	(4|(3
5	_
6	3)
7	_
8	4)
9	_
10	_
11	(5
12	_
13	(6
14	_
15	_
16	6)|5)

1	_
2	(7
3	7)

1	(8)
2	_
3	(9)
4	_
5	_
6	_
7	(8)
8	_
9	(10
10	10)
11	_
12	(11
13	11)
14	_
15	_
16	_
17	_
18	(3
19	_
20	_
21	_
22	_
23	3)
24	_
25	(12|(3)
26	12)
27	_
28	_
29	(13
30	(14|(3)
31	_
32	_
33	14)|13)
34	_
35	_
36	_

1	_
2	_
3	_
4	_
5	_
6	(8)
7	_
8	(15
9	_
10	_
11	15)
12	_
13	(16
14	_
15	_
16	_
17	(17|(8)
18	17)|16)
19	_
20	_
21	_
22	_

1	_
2	(18
3	_
4	_
5	_
6	18)
7	_
8	_
9	(19
10	19)
11	_
12	_
13	(20|(18)
14	_
15	_
16	20)
17	(21
18	_
19	21)
20	_
21	_
22	_
23	(18)
24	_
25	_
26	_
27	(22|(18)
28	22)
29	_
30	_
31	(23
32	_
33	_
34	_
35	_
36	(21)
37	(24
38	24)
39	(20|(24)
40	_
41	20)
42	_
43	(25)
44	_
45	(25)
46	_
47	23)
48	_

1	(26
2	_
3	(22
4	_
5	22)|26)
6	_
7	(26)
8	_
9	_
10	_
11	_
12	(27
13	27)
14	_

1	_
2	_
3	_
4	_
5	_
6	_
7	(20)
8	_
9	_
10	_
11	_
12	(28
13	28)
14	_
15	(29
16	_
17	29)
18	_

1	_
2	(29)
3	_
4	(30
5	30)
6	_
7	(30)
8	_
9	(31)
10	_
11	_

1	_
2	_
3	(32
4	_
5	_
6	(33
7	33)|32)
8	_
9	_
10	_
11	_
12	_
13	(23
14	_
15	23)
16	_
17	_
18	_
19	(34
20	34)
21	_
22	_
23	_
24	_
25	_
26	_
27	(32|(32)
28	_
29	32)
30	_
31	_
32	_
33	_
34	(32)
35	_
36	(20)
37	_
38	_
39	_
40	_
41	_
42	_

1	(32)
2	_
3	(35)
4	_
5	(36)
6	_
7	_
8	_
9	(37
10	_
11	(38
12	38)|37)
13	_
14	(39)
15	_

1	(40
2	_
3	_
4	_
5	(41
6	41)|40)
7	_
8	(20
9	_
10	_
11	_
12	_
13	_
14	_
15	_
16	20)
17	_

1	(20
2	_
3	20)
4	_
5	_
6	_
7	(42|(20)
8	_
9	_
10	_
11	(42)
12	(43|(20)
13	43)
14	_
15	_
16	(44
17	_
18	_
19	44)
20	42)
21	_

1	(4
2	_
3	_
4	_
5	_
6	_
7	(45)
8	_
9	_
10	_
